(962.6, 1084.6)
(458.6, 438.2)
(1563.8, 1435.9)
(1189.2, 1104.1)
(1016.9, 1085.3)
(254.7, 699.2)
(704.9, 1173.0)
(1195.6, 1110.3)
(454.3, 431.7)
(449.7, 429.3)
(1021.8, 1092.4)
(1230.4, 1400.4)
(1190.1, 1105.5)
(1231.1, 1410.1)
(959.8, 1080.9)
(1188.9, 1111.3)
(1021.3, 1091.4)
(1021.5, 1090.5)
(131.9, 761.7)
(1022.2, 1084.9)
(1253.4, 1401.7)
(1191.6, 1103.5)
(1588.1, 1438.0)
(1198.1, 1107.5)
(1193.2, 1111.4)
(821.5, 743.4)
(700.4, 729.3)
(453.7, 430.4)
(1597.5, 1439.4)
(901.2, 1026.9)
(1079.9, 1391.0)
(961.8, 1092.1)
(2607.2, 5879.2)
(822.0, 744.4)
(1197.3, 1112.6)
(958.8, 1087.1)
(1020.1, 1091.0)
(1035.0, 1089.8)
(1585.7, 1446.4)
(1239.6, 1407.2)
(743.8, 1010.4)
(212.2, 783.5)
(1195.7, 1110.1)
(1236.5, 1396.2)
(1806.1, 4280.3)
(901.3, 1023.2)
(1592.8, 1435.9)
(453.9, 429.0)
(962.9, 1082.2)
(1591.4, 1438.4)
(454.3, 432.8)
(821.5, 750.2)
(272.9, 393.4)
(1193.9, 1116.7)
(1223.2, 1402.0)
(2054.8, 1556.8)
(1185.6, 1107.2)
(1254.9, 1053.6)
(454.0, 430.1)
(1190.8, 1108.3)
(1195.9, 1108.1)
(1616.8, 1446.8)
(1325.3, 1265.4)
(1260.5, 1400.7)
(267.9, 832.0)
(1586.2, 1438.4)
(451.6, 432.5)
(895.1, 1026.4)
(964.0, 1083.0)
(462.1, 1650.5)
(1587.7, 1439.3)
(963.6, 1084.8)
(317.9, 791.9)
(108.1, 617.4)
(1205.9, 1106.0)
(935.7, 1134.2)
(2909.1, 4772.0)
(967.7, 1083.3)
(1196.2, 1111.7)
(1239.1, 1407.0)
(1021.4, 1090.3)
(1214.9, 1108.8)
(2123.1, 1564.4)
(1599.2, 1442.9)
(1703.4, 1967.3)
