(101.4, 4509.2)
(133.7, 139.9)
(88.5, 1880.5)
(132.7, 140.5)
(123.2, 123.6)
(125.8, 125.7)
(89.1, 8279.4)
(99.7, 1844.0)
(99.7, 4749.8)
(121.1, 121.7)
(119.5, 122.7)
(119.1, 121.4)
(100.1, 131.4)
(99.8, 4583.3)
(99.5, 4529.7)
(103.3, 4659.2)
(120.3, 122.0)
(99.1, 56.1)
(99.3, 8333.7)
(99.5, 4758.8)
(98.9, 8310.6)
(99.1, 8273.0)
(100.5, 1848.0)
(117.9, 121.9)
(99.3, 8997.5)
(120.8, 122.6)
(120.5, 121.0)
(122.4, 126.4)
(101.1, 4948.8)
(102.4, 8316.9)
(119.0, 124.7)
(99.8, 4767.4)
(100.7, 8294.9)
(119.1, 120.2)
(100.4, 1825.0)
(89.1, 8279.0)
