(71.3, 100.3)
(91.8, 443.9)
(77.5, 114.8)
(49.0, 5.2)
(87.5, 252.2)
(46.6, 80.5)
(87.6, 297.6)
(37.5, 5.2)
(36.8, 5.1)
(54.6, 130.5)
(211.7, 396.4)
(37.7, 11.4)
(38.2, 14.6)
(85.0, 255.7)
(62.7, 195.6)
(101.7, 933.8)
(76.3, 597.7)
(105.1, 194.3)
(118.7, 1191.7)
(59.2, 53.1)
(103.2, 995.1)
(39.9, 30.7)
(61.2, 332.6)
(113.7, 309.7)
(136.0, 722.9)
(55.5, 5.2)
(83.7, 449.0)
(150.2, 329.3)
(75.8, 72.4)
(121.2, 1385.8)
(117.8, 746.0)
(82.3, 153.4)
(66.8, 387.4)
(185.2, 414.1)
(77.3, 701.8)
(760.7, 1119.5)
(60.4, 254.8)
(61.1, 155.2)
(114.1, 581.1)
(161.1, 342.0)
(43.5, 120.1)
