(27.2, 6.4)
(202.8, 295.5)
(186.0, 403.8)
(80.6, 107.9)
(203.0, 297.5)
(206.2, 296.9)
(202.4, 295.6)
(94.6, 99.9)
(30.2, 12.4)
(115.8, 236.7)
(279.5, 462.0)
(31.9, 13.6)
(203.8, 295.8)
(201.4, 294.7)
(38.1, 12.7)
(32.7, 6.8)
(290.1, 558.5)
(26.9, 8.7)
(80.8, 107.0)
(190.8, 471.3)
(82.8, 105.2)
(87.6, 105.3)
(26.9, 5.9)
(174.6, 305.2)
(203.6, 297.0)
(208.7, 295.2)
(26.8, 6.7)
(204.8, 302.2)
(206.5, 295.5)
(203.2, 297.0)
(83.5, 104.5)
(83.7, 105.0)
(19.9, 5.6)
(202.2, 304.4)
(32.6, 13.5)
(86.5, 101.5)
