(476.3, 407.8)
(187.0, 183.1)
(357.4, 450.6)
(304.1, 224.1)
(38.7, 38.6)
(292.9, 316.3)
(227.1, 257.2)
(544.2, 691.5)
(890.8, 890.1)
(278.6, 332.1)
(185.1, 200.7)
(264.7, 306.0)
(440.4, 438.1)
(83.7, 109.6)
(513.2, 508.4)
(235.9, 248.9)
(344.7, 447.4)
(39.2, 38.5)
(98.3, 71.9)
(635.8, 637.1)
(573.8, 693.6)
(199.5, 192.3)
(185.2, 192.7)
(603.7, 639.8)
(39.9, 39.1)
(704.2, 674.1)
(71.5, 93.8)
(73.1, 84.3)
(424.6, 455.1)
(623.8, 752.4)
(342.7, 365.6)
(367.3, 336.1)
(452.0, 489.3)
(179.6, 182.3)
(108.8, 94.1)
(132.1, 129.9)
(451.4, 444.7)
(429.9, 294.9)
(357.7, 368.7)
(131.8, 120.1)
(725.4, 669.0)
(442.5, 441.1)
(427.8, 471.2)
(314.3, 351.3)
(265.6, 318.4)
(516.3, 554.2)
