(105.7, 49.2)
(138.6, 318.2)
(133.9, 317.7)
(156.6, 325.4)
(153.1, 323.8)
(150.6, 320.2)
(132.6, 310.1)
(158.0, 340.2)
(155.6, 327.1)
(131.2, 313.2)
(150.6, 323.8)
(154.1, 324.6)
(149.6, 322.6)
(155.8, 327.4)
(152.8, 321.9)
(130.9, 313.5)
(140.0, 314.7)
(172.9, 333.9)
(138.7, 321.8)
(156.8, 327.6)
(132.8, 311.0)
(130.3, 312.8)
(152.2, 320.8)
(155.1, 326.2)
(108.3, 51.8)
(265.6, 454.2)
(136.9, 315.0)
(155.9, 328.0)
(153.2, 324.1)
(156.6, 324.3)
(336.3, 516.2)
(149.7, 320.1)
(153.6, 325.6)
(136.7, 314.5)
(153.1, 327.6)
(263.7, 457.4)
(148.8, 323.7)
(156.6, 341.0)
(150.7, 323.6)
(138.2, 313.8)
(156.2, 327.3)
(154.4, 325.3)
(153.9, 324.5)
(155.8, 325.5)
(106.3, 48.7)
(156.5, 326.6)
(108.4, 50.8)
(152.3, 323.0)
(153.8, 325.1)
(136.8, 312.6)
(139.6, 314.6)
(174.0, 331.8)
(155.4, 325.1)
(153.8, 326.1)
(134.2, 311.4)
