(69.5, 94.1)
(47.6, 36.9)
(43.0, 67.9)
(264.0, 1157.5)
(46.7, 34.7)
(250.6, 588.3)
(201.9, 732.2)
(92.6, 88.0)
(92.9, 84.3)
(140.3, 150.4)
(217.4, 282.6)
(83.7, 75.6)
(92.2, 87.7)
(23.1, 5.1)
(46.2, 31.8)
(104.4, 381.5)
(69.8, 56.2)
(44.2, 30.3)
(70.1, 106.5)
(83.4, 72.7)
(78.2, 78.2)
(69.8, 73.4)
(40.9, 25.7)
(82.8, 74.2)
(69.9, 112.2)
(91.7, 83.1)
(46.8, 36.7)
(94.4, 200.0)
(74.6, 87.5)
(42.1, 31.7)
(65.3, 52.8)
(140.0, 121.5)
(50.2, 55.0)
(125.4, 164.4)
(67.4, 55.3)
(140.3, 122.0)
(71.6, 72.9)
(102.0, 151.0)
(83.6, 179.8)
(48.2, 48.4)
(70.3, 73.2)
(222.7, 463.0)
(24.7, 6.6)
(97.2, 140.3)
(139.0, 152.3)
(39.9, 29.8)
(22.5, 5.1)
(25.6, 6.6)
(92.9, 87.4)
(181.5, 693.6)
(83.8, 75.0)
(40.6, 26.1)
(184.9, 564.8)
(103.7, 180.7)
(139.5, 186.8)
(159.0, 172.3)
(47.7, 38.3)
(40.7, 29.4)
(106.0, 221.6)
(93.4, 18.8)
(182.5, 1031.9)
(156.3, 311.0)
(23.4, 7.4)
(139.7, 151.0)
(70.3, 99.0)
(92.7, 83.1)
(48.6, 38.2)
(90.6, 18.7)
(48.2, 42.2)
(93.4, 116.4)
(45.4, 97.5)
(93.9, 85.8)
(124.8, 119.9)
(43.3, 25.1)
(46.3, 51.0)
(122.8, 133.4)
(41.6, 38.4)
(72.3, 88.1)
(102.7, 162.0)
(82.6, 75.2)
(144.7, 237.0)
(71.2, 90.3)
(78.9, 790.1)
(596.8, 1563.5)
(125.2, 498.8)
(75.5, 475.8)
(69.6, 72.4)
(70.5, 56.9)
(22.6, 5.2)
(244.5, 1743.3)
(47.2, 94.6)
(62.0, 48.7)
(402.7, 1505.3)
(52.7, 45.9)
(70.7, 128.0)
(22.9, 6.1)
(246.0, 1712.6)
(56.3, 121.5)
(114.7, 354.8)
(71.3, 85.1)
