(11.8, 6.9)
(41.1, 56.8)
(39.1, 56.0)
(37.2, 55.0)
(15.0, 23.5)
(37.8, 53.8)
(12.2, 7.8)
(9.7, 6.6)
(14.4, 15.3)
(18.0, 19.4)
(40.5, 55.2)
(11.7, 8.3)
(39.1, 54.8)
(9.9, 6.6)
(40.0, 53.6)
(44.2, 54.5)
(8.7, 10.1)
(7.8, 6.3)
(13.3, 6.7)
(38.6, 54.5)
(38.2, 55.2)
(15.1, 22.6)
(38.2, 57.4)
(41.4, 53.8)
(22.2, 26.3)
(39.5, 54.4)
(11.0, 7.9)
(44.1, 56.3)
(15.3, 16.1)
(38.9, 60.1)
(37.3, 62.1)
(9.7, 6.2)
(14.3, 16.8)
(37.7, 54.0)
(38.4, 55.3)
(13.2, 15.7)
(40.6, 56.6)
(15.8, 16.1)
(15.7, 17.9)
(23.4, 16.4)
(23.7, 30.1)
(18.0, 17.1)
(37.6, 54.5)
(13.1, 6.7)
(8.3, 7.4)
(42.3, 53.9)
(40.7, 58.2)
(53.3, 75.4)
(9.1, 7.1)
(42.2, 59.3)
(9.0, 5.2)
(9.2, 6.2)
(40.0, 55.3)
(41.1, 61.7)
(40.2, 53.2)
(45.9, 57.5)
(8.9, 7.0)
(19.8, 22.0)
(17.7, 17.3)
(18.1, 15.9)
(37.4, 54.7)
(39.9, 52.5)
