Table,Condition,Frequency
customer_address,"ca_state in ('AK', 'IA', 'IN', 'ME', 'TX')",1
customer_address,"ca_state in ('AL', 'AR', 'GA', 'OR', 'TN')",1
customer_address,"ca_state in ('AL', 'AR', 'KY', 'NC', 'WI')",1
customer_address,"ca_state in ('AL', 'FL', 'KY', 'NJ', 'WI')",1
customer_address,"ca_state in ('AL', 'FL', 'MO', 'OK', 'WV')",1
customer_address,"ca_state in ('AL', 'GA', 'MS', 'SC', 'SD')",1
customer_address,"ca_state in ('AL', 'GA', 'MT', 'OH', 'WI')",1
customer_address,"ca_state in ('AL', 'GA', 'ND', 'OK', 'WI')",1
customer_address,"ca_state in ('AL', 'IA', 'ME', 'TX', 'WV')",1
customer_address,"ca_state in ('AL', 'KS', 'MS', 'ND', 'WV')",1
customer_address,"ca_state in ('AL', 'KY', 'OR', 'SD', 'TN')",1
customer_address,"ca_state in ('AL', 'MT', 'OR', 'UT', 'WI')",1
customer_address,"ca_state in ('AL', 'OH', 'SC', 'TX', 'WY')",1
customer_address,"ca_state in ('AR', 'CT', 'PA', 'SD', 'WI')",1
customer_address,"ca_state in ('AR', 'FL', 'IA', 'MA', 'TX')",1
customer_address,"ca_state in ('AR', 'GA', 'ID', 'MN', 'VT')",1
customer_address,"ca_state in ('AR', 'GA', 'LA', 'NC', 'NE')",1
customer_address,"ca_state in ('AR', 'GA', 'MI', 'TN', 'WA')",1
customer_address,"ca_state in ('AR', 'IA', 'MS', 'NE', 'PA')",1
customer_address,"ca_state in ('AR', 'NC', 'TX', 'WA', 'WV')",1
customer_address,"ca_state in ('CA', 'FL', 'IA', 'NM', 'TX')",1
customer_address,"ca_state in ('CA', 'FL', 'MT', 'TX', 'WI')",1
customer_address,"ca_state in ('CA', 'GA', 'ID', 'MA', 'NC')",1
customer_address,"ca_state in ('CA', 'GA', 'IL', 'MS', 'WI')",1
customer_address,"ca_state in ('CA', 'IA', 'IN', 'OK', 'WI')",1
customer_address,"ca_state in ('CA', 'ID', 'MI', 'ND', 'TX')",1
customer_address,"ca_state in ('CA', 'IL', 'KY', 'MN', 'TN')",1
customer_address,"ca_state in ('CA', 'IL', 'MN', 'SC', 'SD')",1
customer_address,"ca_state in ('CA', 'LA', 'MN', 'OH', 'WY')",1
customer_address,"ca_state in ('CA', 'MI', 'MO', 'OR', 'VA')",1
