Table,Condition,Frequency
call_center,cc_class = 'medium',47
call_center,cc_class = 'small',53
catalog_sales,cs_list_price between 10 and 39,1
catalog_sales,cs_list_price between 105 and 134,1
catalog_sales,cs_list_price between 107 and 136,2
catalog_sales,cs_list_price between 110 and 139,1
catalog_sales,cs_list_price between 111 and 140,1
catalog_sales,cs_list_price between 114 and 143,2
catalog_sales,cs_list_price between 116 and 145,2
catalog_sales,cs_list_price between 121 and 150,1
catalog_sales,cs_list_price between 123 and 152,1
catalog_sales,cs_list_price between 125 and 154,2
catalog_sales,cs_list_price between 128 and 157,1
catalog_sales,cs_list_price between 136 and 165,1
catalog_sales,cs_list_price between 141 and 170,1
catalog_sales,cs_list_price between 150 and 179,2
catalog_sales,cs_list_price between 152 and 181,1
catalog_sales,cs_list_price between 158 and 187,1
catalog_sales,cs_list_price between 160 and 189,1
catalog_sales,cs_list_price between 161 and 190,2
catalog_sales,cs_list_price between 162 and 191,1
catalog_sales,cs_list_price between 164 and 193,1
catalog_sales,cs_list_price between 166 and 195,2
catalog_sales,cs_list_price between 168 and 197,1
catalog_sales,cs_list_price between 169 and 198,1
catalog_sales,cs_list_price between 17 and 46,1
catalog_sales,cs_list_price between 174 and 203,1
catalog_sales,cs_list_price between 177 and 206,1
catalog_sales,cs_list_price between 183 and 212,2
catalog_sales,cs_list_price between 186 and 215,1
catalog_sales,cs_list_price between 189 and 218,1
catalog_sales,cs_list_price between 19 and 48,1
catalog_sales,cs_list_price between 191 and 220,1
catalog_sales,cs_list_price between 195 and 224,1
catalog_sales,cs_list_price between 198 and 227,1
catalog_sales,cs_list_price between 204 and 233,1
catalog_sales,cs_list_price between 206 and 235,1
catalog_sales,cs_list_price between 209 and 238,1
catalog_sales,cs_list_price between 218 and 247,1
catalog_sales,cs_list_price between 22 and 51,1
catalog_sales,cs_list_price between 223 and 252,1
catalog_sales,cs_list_price between 228 and 257,1
catalog_sales,cs_list_price between 234 and 263,1
catalog_sales,cs_list_price between 240 and 269,1
catalog_sales,cs_list_price between 241 and 270,1
