Table,Condition,Frequency
customer_address,"ca_state in ('AK', 'AL', 'FL', 'MS', 'OK')",1
customer_address,"ca_state in ('AK', 'FL', 'MN', 'TX', 'VA')",1
customer_address,"ca_state in ('AK', 'IA', 'KS', 'PA', 'WI')",1
customer_address,"ca_state in ('AK', 'NC', 'NV', 'OH', 'VA')",1
customer_address,"ca_state in ('AL', 'AR', 'CO', 'MO', 'OK')",1
customer_address,"ca_state in ('AL', 'AR', 'GA', 'IA', 'MI')",1
customer_address,"ca_state in ('AL', 'AR', 'ME', 'MO', 'VA')",1
customer_address,"ca_state in ('AL', 'AR', 'MO', 'TN', 'TX')",1
customer_address,"ca_state in ('AL', 'CO', 'FL', 'NE', 'PA')",1
customer_address,"ca_state in ('AL', 'CO', 'FL', 'NJ', 'OK')",1
customer_address,"ca_state in ('AL', 'GA', 'IN', 'OK', 'PA')",1
customer_address,"ca_state in ('AL', 'GA', 'KS', 'KY', 'TX')",1
customer_address,"ca_state in ('AL', 'IL', 'KY', 'NE', 'VA')",1
customer_address,"ca_state in ('AL', 'IN', 'KY', 'ND', 'TX')",1
customer_address,"ca_state in ('AL', 'KS', 'MS', 'TX', 'VA')",1
customer_address,"ca_state in ('AL', 'MN', 'MO', 'MS', 'VA')",1
customer_address,"ca_state in ('AR', 'CO', 'GA', 'IA', 'WV')",1
customer_address,"ca_state in ('AR', 'CO', 'KY', 'MS', 'TX')",1
customer_address,"ca_state in ('AR', 'FL', 'IL', 'MI', 'UT')",1
customer_address,"ca_state in ('AR', 'GA', 'IA', 'KY', 'NY')",1
customer_address,"ca_state in ('AR', 'GA', 'IA', 'KY', 'VA')",1
customer_address,"ca_state in ('AR', 'GA', 'IL', 'MI', 'TX')",1
customer_address,"ca_state in ('AR', 'IL', 'KY', 'SD', 'TN')",1
customer_address,"ca_state in ('AR', 'IN', 'KS', 'MO', 'TX')",1
customer_address,"ca_state in ('AR', 'KS', 'MT', 'NE', 'WA')",1
