Table,Condition,Frequency
catalog_returns,cr_reason_sk = 1,2
catalog_returns,cr_reason_sk = 10,1
catalog_returns,cr_reason_sk = 11,2
catalog_returns,cr_reason_sk = 12,2
catalog_returns,cr_reason_sk = 13,1
catalog_returns,cr_reason_sk = 14,1
catalog_returns,cr_reason_sk = 15,2
catalog_returns,cr_reason_sk = 16,1
catalog_returns,cr_reason_sk = 17,2
catalog_returns,cr_reason_sk = 18,1
catalog_returns,cr_reason_sk = 19,4
catalog_returns,cr_reason_sk = 22,1
catalog_returns,cr_reason_sk = 23,1
catalog_returns,cr_reason_sk = 24,1
catalog_returns,cr_reason_sk = 25,1
catalog_returns,cr_reason_sk = 26,3
catalog_returns,cr_reason_sk = 27,1
catalog_returns,cr_reason_sk = 28,1
catalog_returns,cr_reason_sk = 29,1
catalog_returns,cr_reason_sk = 30,3
catalog_returns,cr_reason_sk = 33,1
catalog_returns,cr_reason_sk = 35,3
catalog_returns,cr_reason_sk = 36,4
catalog_returns,cr_reason_sk = 37,5
catalog_returns,cr_reason_sk = 38,1
catalog_returns,cr_reason_sk = 39,2
catalog_returns,cr_reason_sk = 41,2
catalog_returns,cr_reason_sk = 44,1
catalog_returns,cr_reason_sk = 46,2
catalog_returns,cr_reason_sk = 47,1
catalog_returns,cr_reason_sk = 48,3
catalog_returns,cr_reason_sk = 49,3
catalog_returns,cr_reason_sk = 5,3
catalog_returns,cr_reason_sk = 50,1
catalog_returns,cr_reason_sk = 52,1
catalog_returns,cr_reason_sk = 54,2
catalog_returns,cr_reason_sk = 55,1
catalog_returns,cr_reason_sk = 56,1
catalog_returns,cr_reason_sk = 57,2
catalog_returns,cr_reason_sk = 58,1
catalog_returns,cr_reason_sk = 6,2
catalog_returns,cr_reason_sk = 60,1
catalog_returns,cr_reason_sk = 61,2
catalog_returns,cr_reason_sk = 63,1
catalog_returns,cr_reason_sk = 64,1
catalog_returns,cr_reason_sk = 67,3
catalog_returns,cr_reason_sk = 68,1
