Table,Condition,Frequency
customer,c_birth_month = 1,6
customer,c_birth_month = 10,8
customer,c_birth_month = 11,7
customer,c_birth_month = 12,10
customer,c_birth_month = 2,7
customer,c_birth_month = 3,10
customer,c_birth_month = 4,9
customer,c_birth_month = 5,8
customer,c_birth_month = 6,6
customer,c_birth_month = 7,13
customer,c_birth_month = 8,11
customer,c_birth_month = 9,5
customer_address,ca_state  = 'AL',2
customer_address,ca_state  = 'AR',1
customer_address,ca_state  = 'CA',1
customer_address,ca_state  = 'CO',1
customer_address,ca_state  = 'FL',2
customer_address,ca_state  = 'GA',6
customer_address,ca_state  = 'ID',1
customer_address,ca_state  = 'IL',3
customer_address,ca_state  = 'IN',1
customer_address,ca_state  = 'KS',4
customer_address,ca_state  = 'KY',2
customer_address,ca_state  = 'LA',1
customer_address,ca_state  = 'MA',1
customer_address,ca_state  = 'MD',2
customer_address,ca_state  = 'ME',3
customer_address,ca_state  = 'MI',2
customer_address,ca_state  = 'MN',5
customer_address,ca_state  = 'MO',2
customer_address,ca_state  = 'MS',5
customer_address,ca_state  = 'MT',1
customer_address,ca_state  = 'NC',3
customer_address,ca_state  = 'ND',2
customer_address,ca_state  = 'NE',3
customer_address,ca_state  = 'NM',1
customer_address,ca_state  = 'NV',3
customer_address,ca_state  = 'OH',1
customer_address,ca_state  = 'OK',3
customer_address,ca_state  = 'OR',1
customer_address,ca_state  = 'PA',2
customer_address,ca_state  = 'SC',5
customer_address,ca_state  = 'SD',2
customer_address,ca_state  = 'TN',4
customer_address,ca_state  = 'TX',14
customer_address,ca_state  = 'UT',1
customer_address,ca_state  = 'VA',3
customer_address,ca_state  = 'VT',1
customer_address,ca_state  = 'WI',1
customer_address,ca_state  = 'WV',2
customer_address,ca_state  = 'WY',2
date_dim,d_year=1998 and d_moy = 10,4
date_dim,d_year=1998 and d_moy = 12,2
date_dim,d_year=1998 and d_moy = 2,4
date_dim,d_year=1998 and d_moy = 3,2
date_dim,d_year=1998 and d_moy = 5,2
date_dim,d_year=1998 and d_moy = 6,3
date_dim,d_year=1998 and d_moy = 7,3
date_dim,d_year=1998 and d_moy = 8,2
date_dim,d_year=1998 and d_moy = 9,2
date_dim,d_year=1999 and d_moy = 10,1
date_dim,d_year=1999 and d_moy = 11,1
date_dim,d_year=1999 and d_moy = 2,1
date_dim,d_year=1999 and d_moy = 3,2
date_dim,d_year=1999 and d_moy = 4,2
date_dim,d_year=1999 and d_moy = 5,2
date_dim,d_year=1999 and d_moy = 6,1
date_dim,d_year=1999 and d_moy = 7,3
date_dim,d_year=1999 and d_moy = 8,2
date_dim,d_year=2000 and d_moy = 1,2
date_dim,d_year=2000 and d_moy = 10,1
date_dim,d_year=2000 and d_moy = 11,2
