Table,Condition,Frequency
customer_address,ca_city = 'Antioch',2
customer_address,ca_city = 'Ashland',1
customer_address,ca_city = 'Bethel',1
customer_address,ca_city = 'Brownsville',1
customer_address,ca_city = 'Buena Vista',2
customer_address,ca_city = 'Centerville',3
customer_address,ca_city = 'Concord',2
customer_address,ca_city = 'Crossroads',1
customer_address,ca_city = 'Edgewood',1
customer_address,ca_city = 'Enterprise',1
customer_address,ca_city = 'Farmington',2
customer_address,ca_city = 'Five Forks',4
customer_address,ca_city = 'Five Points',1
customer_address,ca_city = 'Florence',1
customer_address,ca_city = 'Forest Hills',1
customer_address,ca_city = 'Franklin',1
customer_address,ca_city = 'Friendship',1
customer_address,ca_city = 'Georgetown',1
customer_address,ca_city = 'Glendale',2
customer_address,ca_city = 'Glenwood',1
customer_address,ca_city = 'Green Acres',2
customer_address,ca_city = 'Greenfield',1
customer_address,ca_city = 'Greenville',1
customer_address,ca_city = 'Hamilton',2
customer_address,ca_city = 'Highland Park',1
customer_address,ca_city = 'Highland',1
customer_address,ca_city = 'Hillcrest',1
customer_address,ca_city = 'Hopewell',2
customer_address,ca_city = 'Jackson',1
customer_address,ca_city = 'Jamestown',1
customer_address,ca_city = 'Kingston',4
customer_address,ca_city = 'Lakeview',1
customer_address,ca_city = 'Macedonia',2
customer_address,ca_city = 'Maple Grove',1
customer_address,ca_city = 'Marion',2
customer_address,ca_city = 'Midway',1
customer_address,ca_city = 'Mount Pleasant',4
customer_address,ca_city = 'Mount Vernon',2
customer_address,ca_city = 'Mount Zion',1
customer_address,ca_city = 'New Hope',1
customer_address,ca_city = 'Newtown',2
customer_address,ca_city = 'Oak Grove',1
customer_address,ca_city = 'Oak Hill',2
customer_address,ca_city = 'Oak Ridge',1
customer_address,ca_city = 'Oakland',1
customer_address,ca_city = 'Oakwood',1
customer_address,ca_city = 'Plainview',1
customer_address,ca_city = 'Pleasant Grove',1
customer_address,ca_city = 'Pleasant Hill',2
customer_address,ca_city = 'Red Hill',3
customer_address,ca_city = 'Riverside',1
customer_address,ca_city = 'Riverview',1
customer_address,ca_city = 'Salem',1
customer_address,ca_city = 'Shady Grove',1
customer_address,ca_city = 'Shiloh',2
customer_address,ca_city = 'Spring Hill',1
customer_address,ca_city = 'Spring Valley',1
customer_address,ca_city = 'Springdale',1
customer_address,ca_city = 'Springfield',1
customer_address,ca_city = 'Summit',1
customer_address,ca_city = 'Unionville',1
customer_address,ca_city = 'Valley View',1
customer_address,ca_city = 'Walnut Grove',2
customer_address,ca_city = 'White Oak',2
customer_address,ca_city = 'Wildwood',2
customer_address,ca_city = 'Wilson',2
customer_address,ca_city = 'Woodland',1
customer_address,ca_city = 'Woodlawn',1
income_band,ib_lower_bound >= 0 * 10000 AND ib_upper_bound <= 0 * 10000 + 50000,18
income_band,ib_lower_bound >= 1 * 10000 AND ib_upper_bound <= 1 * 10000 + 50000,13
income_band,ib_lower_bound >= 2 * 10000 AND ib_upper_bound <= 2 * 10000 + 50000,11
income_band,ib_lower_bound >= 3 * 10000 AND ib_upper_bound <= 3 * 10000 + 50000,8
income_band,ib_lower_bound >= 4 * 10000 AND ib_upper_bound <= 4 * 10000 + 50000,8
income_band,ib_lower_bound >= 5 * 10000 AND ib_upper_bound <= 5 * 10000 + 50000,11
income_band,ib_lower_bound >= 6 * 10000 AND ib_upper_bound <= 6 * 10000 + 50000,17
income_band,ib_lower_bound >= 7 * 10000 AND ib_upper_bound <= 7 * 10000 + 50000,14
web_sales,1=1,20
warehouse,1=1,20
ship_mode,1=1,20
store_sales,1=1,20
store,1=1,20
income_band,1=1,20
item,1=1,20
household_demographics,1=1,20
date_dim,1=1,20
catalog_sales,1=1,20
catalog_returns,1=1,20
customer_demographics,1=1,20
call_center,1=1,20
customer_address,1=1,20
customer,1=1,20
