Table,Condition,Frequency
customer_demographics,cd_marital_status = 'D' AND cd_dep_count BETWEEN 1 AND 3,3
customer_demographics,cd_marital_status = 'D' AND cd_dep_count BETWEEN 2 AND 4,6
customer_demographics,cd_marital_status = 'D' AND cd_dep_count BETWEEN 3 AND 5,2
customer_demographics,cd_marital_status = 'D' AND cd_dep_count BETWEEN 4 AND 6,4
customer_demographics,cd_marital_status = 'D' AND cd_dep_count BETWEEN 6 AND 8,6
customer_demographics,cd_marital_status = 'D' AND cd_dep_count BETWEEN 7 AND 9,7
customer_demographics,cd_marital_status = 'D' AND cd_dep_count BETWEEN 9 AND 11,4
customer_demographics,cd_marital_status = 'M' AND cd_dep_count BETWEEN 1 AND 3,1
customer_demographics,cd_marital_status = 'M' AND cd_dep_count BETWEEN 2 AND 4,2
customer_demographics,cd_marital_status = 'M' AND cd_dep_count BETWEEN 4 AND 6,1
customer_demographics,cd_marital_status = 'M' AND cd_dep_count BETWEEN 5 AND 7,1
customer_demographics,cd_marital_status = 'M' AND cd_dep_count BETWEEN 6 AND 8,1
customer_demographics,cd_marital_status = 'M' AND cd_dep_count BETWEEN 7 AND 9,3
customer_demographics,cd_marital_status = 'S' AND cd_dep_count BETWEEN 1 AND 3,2
customer_demographics,cd_marital_status = 'S' AND cd_dep_count BETWEEN 2 AND 4,1
customer_demographics,cd_marital_status = 'S' AND cd_dep_count BETWEEN 4 AND 6,4
customer_demographics,cd_marital_status = 'S' AND cd_dep_count BETWEEN 5 AND 7,1
customer_demographics,cd_marital_status = 'S' AND cd_dep_count BETWEEN 7 AND 9,3
customer_demographics,cd_marital_status = 'U' AND cd_dep_count BETWEEN 4 AND 6,1
customer_demographics,cd_marital_status = 'U' AND cd_dep_count BETWEEN 6 AND 8,2
customer_demographics,cd_marital_status = 'W' AND cd_dep_count BETWEEN 0 AND 2,4
customer_demographics,cd_marital_status = 'W' AND cd_dep_count BETWEEN 1 AND 3,4
customer_demographics,cd_marital_status = 'W' AND cd_dep_count BETWEEN 2 AND 4,4
customer_demographics,cd_marital_status = 'W' AND cd_dep_count BETWEEN 3 AND 5,4
customer_demographics,cd_marital_status = 'W' AND cd_dep_count BETWEEN 4 AND 6,5
customer_demographics,cd_marital_status = 'W' AND cd_dep_count BETWEEN 5 AND 7,7
customer_demographics,cd_marital_status = 'W' AND cd_dep_count BETWEEN 6 AND 8,4
customer_demographics,cd_marital_status = 'W' AND cd_dep_count BETWEEN 7 AND 9,8
customer_demographics,cd_marital_status = 'W' AND cd_dep_count BETWEEN 9 AND 11,5
catalog_sales,cs_wholesale_cost BETWEEN 0 AND 20,1
catalog_sales,cs_wholesale_cost BETWEEN 10 AND 30,2
catalog_sales,cs_wholesale_cost BETWEEN 12 AND 32,1
catalog_sales,cs_wholesale_cost BETWEEN 13 AND 33,2
catalog_sales,cs_wholesale_cost BETWEEN 15 AND 35,2
catalog_sales,cs_wholesale_cost BETWEEN 16 AND 36,2
catalog_sales,cs_wholesale_cost BETWEEN 18 AND 38,3
catalog_sales,cs_wholesale_cost BETWEEN 19 AND 39,2
catalog_sales,cs_wholesale_cost BETWEEN 20 AND 40,1
catalog_sales,cs_wholesale_cost BETWEEN 22 AND 42,2
catalog_sales,cs_wholesale_cost BETWEEN 23 AND 43,1
catalog_sales,cs_wholesale_cost BETWEEN 24 AND 44,2
catalog_sales,cs_wholesale_cost BETWEEN 26 AND 46,2
catalog_sales,cs_wholesale_cost BETWEEN 27 AND 47,1
catalog_sales,cs_wholesale_cost BETWEEN 28 AND 48,1
catalog_sales,cs_wholesale_cost BETWEEN 29 AND 49,1
catalog_sales,cs_wholesale_cost BETWEEN 3 AND 23,1
catalog_sales,cs_wholesale_cost BETWEEN 31 AND 51,1
catalog_sales,cs_wholesale_cost BETWEEN 32 AND 52,1
catalog_sales,cs_wholesale_cost BETWEEN 34 AND 54,1
catalog_sales,cs_wholesale_cost BETWEEN 35 AND 55,2
catalog_sales,cs_wholesale_cost BETWEEN 38 AND 58,3
catalog_sales,cs_wholesale_cost BETWEEN 39 AND 59,2
catalog_sales,cs_wholesale_cost BETWEEN 4 AND 24,3
catalog_sales,cs_wholesale_cost BETWEEN 41 AND 61,2
catalog_sales,cs_wholesale_cost BETWEEN 42 AND 62,1
catalog_sales,cs_wholesale_cost BETWEEN 43 AND 63,2
catalog_sales,cs_wholesale_cost BETWEEN 44 AND 64,2
