Table,Condition,Frequency
customer_demographics,cd_marital_status = 'D' and cd_education_status = '4 yr Degree',13
customer_demographics,cd_marital_status = 'D' and cd_education_status = 'Advanced Degree',7
customer_demographics,cd_marital_status = 'D' and cd_education_status = 'College',12
customer_demographics,cd_marital_status = 'D' and cd_education_status = 'Primary',5
customer_demographics,cd_marital_status = 'D' and cd_education_status = 'Unknown',3
customer_demographics,cd_marital_status = 'M' and cd_education_status = '4 yr Degree',1
customer_demographics,cd_marital_status = 'M' and cd_education_status = 'Advanced Degree',2
customer_demographics,cd_marital_status = 'M' and cd_education_status = 'College',2
customer_demographics,cd_marital_status = 'M' and cd_education_status = 'Unknown',1
customer_demographics,cd_marital_status = 'S' and cd_education_status = '4 yr Degree',2
customer_demographics,cd_marital_status = 'S' and cd_education_status = 'Advanced Degree',2
customer_demographics,cd_marital_status = 'S' and cd_education_status = 'College',2
customer_demographics,cd_marital_status = 'U' and cd_education_status = 'College',1
customer_demographics,cd_marital_status = 'W' and cd_education_status = '2 yr Degree',2
customer_demographics,cd_marital_status = 'W' and cd_education_status = '4 yr Degree',14
customer_demographics,cd_marital_status = 'W' and cd_education_status = 'Advanced Degree',12
customer_demographics,cd_marital_status = 'W' and cd_education_status = 'College',8
customer_demographics,cd_marital_status = 'W' and cd_education_status = 'Primary',9
customer_demographics,cd_marital_status = 'W' and cd_education_status = 'Unknown',2
date_dim,d_year between 1998 and 1998 + 1,32
date_dim,d_year between 1999 and 1999 + 1,39
date_dim,d_year between 2000 and 2000 + 1,29
item1,"item1.i_category in ('Books', 'Children')",2
item1,"item1.i_category in ('Books', 'Electronics')",4
item1,"item1.i_category in ('Books', 'Home')",1
item1,"item1.i_category in ('Books', 'Jewelry')",2
item1,"item1.i_category in ('Books', 'Women')",1
item1,"item1.i_category in ('Children', 'Electronics')",12
item1,"item1.i_category in ('Children', 'Home')",6
item1,"item1.i_category in ('Children', 'Jewelry')",6
item1,"item1.i_category in ('Children', 'Men')",5
item1,"item1.i_category in ('Children', 'Sports')",2
item1,"item1.i_category in ('Children', 'Women')",10
item1,"item1.i_category in ('Electronics', 'Home')",8
item1,"item1.i_category in ('Electronics', 'Jewelry')",10
item1,"item1.i_category in ('Electronics', 'Men')",1
item1,"item1.i_category in ('Electronics', 'Music')",2
item1,"item1.i_category in ('Electronics', 'Women')",7
item1,"item1.i_category in ('Home', 'Jewelry')",5
item1,"item1.i_category in ('Home', 'Men')",2
item1,"item1.i_category in ('Home', 'Women')",3
item1,"item1.i_category in ('Jewelry', 'Men')",1
item1,"item1.i_category in ('Jewelry', 'Women')",7
item1,"item1.i_category in ('Men', 'Music')",1
item1,"item1.i_category in ('Men', 'Women')",2
item2,item2.i_manager_id between 10 and 29,1
item2,item2.i_manager_id between 100 and 119,1
item2,item2.i_manager_id between 11 and 30,1
item2,item2.i_manager_id between 13 and 32,2
