Table,Condition,Frequency
d1,d1.d_dow = 1,13
d1,d1.d_dow = 2,17
d1,d1.d_dow = 3,19
d1,d1.d_dow = 4,8
d1,d1.d_dow = 5,15
d1,d1.d_dow = 6,14
d1,d1.d_dow = 7,14
d2,d2.d_moy = 1,9
d2,d2.d_moy = 10,11
d2,d2.d_moy = 11,11
d2,d2.d_moy = 12,10
d2,d2.d_moy = 2,4
d2,d2.d_moy = 3,9
d2,d2.d_moy = 4,4
d2,d2.d_moy = 5,9
d2,d2.d_moy = 6,3
d2,d2.d_moy = 7,6
d2,d2.d_moy = 8,11
d2,d2.d_moy = 9,13
store,"s_state in ('AK', 'KS', 'MD')",1
store,"s_state in ('AK', 'MO', 'OH')",1
store,"s_state in ('AL', 'AR', 'KY')",1
store,"s_state in ('AL', 'FL', 'NJ')",1
store,"s_state in ('AL', 'FL', 'TX')",1
store,"s_state in ('AL', 'IL', 'ND')",1
store,"s_state in ('AL', 'IL', 'WI')",1
store,"s_state in ('AL', 'KY', 'TX')",1
store,"s_state in ('AL', 'OR', 'WI')",1
store,"s_state in ('AR', 'CT', 'PA')",1
store,"s_state in ('AR', 'GA', 'IL')",2
store,"s_state in ('AR', 'IN', 'MN')",1
store,"s_state in ('AR', 'LA', 'TN')",1
store,"s_state in ('AR', 'NE', 'OK')",1
store,"s_state in ('AR', 'TX', 'WA')",1
store,"s_state in ('CA', 'KS', 'KY')",1
store,"s_state in ('CA', 'KS', 'ND')",1
store,"s_state in ('CA', 'MI', 'NC')",1
store,"s_state in ('CA', 'MI', 'TX')",1
store,"s_state in ('CA', 'MN', 'TX')",1
store,"s_state in ('CA', 'MT', 'VA')",1
store,"s_state in ('CA', 'NE', 'SC')",1
store,"s_state in ('CO', 'IA', 'KS')",1
store,"s_state in ('CO', 'IA', 'PA')",1
store,"s_state in ('CO', 'IN', 'NC')",1
store,"s_state in ('CO', 'KY', 'NY')",1
store,"s_state in ('CO', 'OH', 'SC')",1
store,"s_state in ('FL', 'GA', 'IL')",1
store,"s_state in ('FL', 'GA', 'MN')",1
store,"s_state in ('FL', 'IL', 'NM')",1
store,"s_state in ('FL', 'MO', 'TX')",1
store,"s_state in ('GA', 'IA', 'ND')",1
store,"s_state in ('GA', 'IA', 'SC')",1
store,"s_state in ('GA', 'IL', 'KS')",1
store,"s_state in ('GA', 'IL', 'SC')",1
